actel,rgdal::readOGR
adehabitatHR,rgeos::gUnionCascaded
agriwater,rgdal::readOGR
amt,maptools::crepuscule maptools::sunriset rgeos::gBuffer rgeos::gContainsProperly rgeos::gConvexHull rgeos::gIntersects rgeos::gUnaryUnion
animalEKF,rgeos::gContains rgeos::gIntersection rgeos::gIsEmpty
animaltracker,maptools::getKMLcoordinates rgdal::writeOGR
animint2,maptools::unionSpatialPolygons
antaresViz,rgeos::gDistance
APfun,maptools::spRbind rgdal::GDALinfo rgdal::readOGR rgdal::writeOGR
AQuadtree,rgdal::writeOGR rgeos::gIntersection
ASIP,rgdal::readOGR
atakrig,rgdal::putRasterData rgeos::gCentroid
ausplotsR,maptools::map2SpatialPolygons
bamlss,maptools::gpclibPermit maptools::readShapePoly maptools::unionSpatialPolygons
BARIS,rgdal::readOGR
BayesX,maptools::unionSpatialPolygons
bcmaps,rgeos::gBuffer rgeos::gIsValid
bdvis,rgdal::readOGR
bfsMaps,maptools::unionSpatialPolygons rgdal::readOGR rgeos::gLength rgeos::readWKT
BIEN,rgdal::writeOGR rgeos::readWKT rgeos::writeWKT
BiodiversityR,rgeos::gBuffer
biogeo,maptools::writePointsShape
biosurvey,rgdal::readOGR rgeos::gBuffer rgeos::gCentroid
birdring,rgeos::gDifference rgeos::gIntersection rgeos::gIntersects rgeos::gUnionCascaded
bivariatemaps,rgeos::gArea
bnspatial,rgdal::GDALinfo rgdal::ogrInfo
BPEC,maptools::kmlLine maptools::kmlPoints
bRacatus,rgeos::gBuffer rgeos::gIntersection
briskaR,rgdal::readOGR rgeos::gBuffer rgeos::gDifference rgeos::gUnionCascaded
broom,maptools::unionSpatialPolygons
car,maptools::pointLabel
cartograflow,rgeos::gIntersects
chronosphere,rgdal::readOGR rgdal::writeOGR
cleangeo,rgeos::gBuffer rgeos::gCrosses rgeos::gDifference rgeos::getScale rgeos::gIntersection rgeos::gIsValid rgeos::gUnionCascaded
ConR,rgdal::project rgdal::rgdal_extSoftVersion rgdal::writeOGR rgeos::gBuffer rgeos::readWKT
contact,rgeos::gDistance
CoordinateCleaner,rgeos::gBuffer
crestr,rgdal::projInfo rgeos::readWKT
cropDemand,rgdal::readOGR
cropZoning,rgdal::readOGR
ctmm,rgdal::project rgdal::writeOGR
disaggregation,maptools::unionSpatialPolygons
disdat,rgdal::readOGR
DivE,rgeos::gIntersection
DRHotNet,maptools::as.SpatialLines.psp maptools::PolySet2SpatialPolygons maptools::SpatialLines2PolySet
dsims,rgeos::gIntersects
dssd,rgdal::writeOGR
DSsim,rgeos::gBuffer rgeos::gIntersection rgeos::gIntersects
dynatopGIS,rgeos::gBuffer
ebirdst,rgdal::gdalDrivers
ecospat,maptools::spRbind
eechidna,rgdal::ogrListLayers rgdal::readOGR rgeos::gArea rgeos::gContains rgeos::gIntersection rgeos::gIntersects rgeos::gSimplify
eeptools,maptools::spCbind
elevatr,rgdal::getPROJ4VersionInfo
EMbC,maptools::solarpos
ENMTools,rgeos::gUnaryUnion
envi,rgeos::gBuffer
envirem,rgdal::project
eseis,rgdal::project
excursions,rgeos::gDifference rgeos::gUnaryUnion
ExposR,rgdal::readOGR rgdal::setCPLConfigOption
expp,rgeos::gBuffer rgeos::gIntersection rgeos::gTouches rgeos::gUnionCascaded rgeos::readWKT
FedData,rgdal::ogrListLayers rgdal::readOGR rgdal::writeOGR rgeos::gIntersection
fieldRS,rgeos::gDistance
FIESTA,rgdal::GDALinfo
FIESTAutils,rgdal::copyDataset rgdal::GDAL.close rgdal::GDAL.open rgdal::GDALcall rgdal::GDALinfo rgdal::getDescription rgdal::getProjectionRef rgdal::getRasterBand rgdal::getRasterData rgdal::make_EPSG rgdal::project rgdal::projInfo rgdal::putRasterData rgdal::readOGR rgdal::saveDataset
FLightR,maptools::gzAzimuth maptools::sunriset rgeos::gBuffer rgeos::gDistance rgeos::gSimplify rgeos::gUnion rgeos::gWithinDistance
ForestTools,rgeos::gArea rgeos::gCentroid rgeos::gUnaryUnion
foster,rgdal::writeOGR
FRK,rgeos::gBuffer rgeos::gDifference rgeos::gIntersection
GADMTools,maptools::unionSpatialPolygons rgdal::writeOGR rgeos::gSimplify
