"package","function","used_by"
"maptools","as.linnet.SpatialLines","SpNetPrep"
"maptools","as.owin.SpatialPolygons","GmAMisc"
"maptools","as.SpatialLines.psp","DRHotNet"
"maptools","checkPolygonsHoles","inlmisc"
"maptools","crepuscule","amt incR"
"maptools","elide","usmap"
"maptools","gcDestination","ggsn"
"maptools","getinfo.shape","SSN"
"maptools","getKMLcoordinates","animaltracker"
"maptools","gpclibPermit","bamlss R2BayesX surveillance"
"maptools","gzAzimuth","FLightR"
"maptools","kmlLine","BPEC"
"maptools","kmlOverlay","RgoogleMaps"
"maptools","kmlPoints","BPEC"
"maptools","kmlPolygon","red"
"maptools","kmlPolygons","red"
"maptools","leglabs","SpatialEpi"
"maptools","map2SpatialLines","MapGAM"
"maptools","map2SpatialPolygons","ausplotsR rangemap"
"maptools","pointLabel","car rayshader rioja"
"maptools","PolySet2SpatialPolygons","DRHotNet RchivalTag"
"maptools","readAsciiGrid","rworldmap"
"maptools","readShapePoly","bamlss hydroTSM MetaLandSim plotKML"
"maptools","readShapeSpatial","inlabru openadds"
"maptools","Sobj_SpatialGrid","surveillance"
"maptools","solarnoon","PWFSLSmoke"
"maptools","solarpos","EMbC shadow"
"maptools","SpatialLines2PolySet","DRHotNet MapGAM RchivalTag"
"maptools","SpatialLinesMidPoints","gDefrag"
"maptools","SpatialPolygons2PolySet","MapGAM"
"maptools","spCbind","eeptools"
"maptools","spRbind","APfun ecospat iSDM track2KBA uavRmp"
"maptools","sunriset","amt FLightR overlap PWFSLSmoke"
"maptools","trackAzimuth","move"
"maptools","unionSpatialPolygons","animint2 bamlss BayesX bfsMaps broom disaggregation GADMTools LabourMarketAreas micromap R2BayesX RchivalTag rmapzen stampr surveillance"
"maptools","writeLinesShape","plotKML uavRmp"
"maptools","writePointsShape","biogeo plotKML"
"maptools","writePolyShape","monographaR plotKML"
"maptools","writeSpatialShape","monographaR"
"rgdal","checkCRSArgs","RSurvey sp"
"rgdal","checkCRSArgs_ng","sp"
"rgdal","closeDataset","raster ursa"
"rgdal","compare_CRS","raster"
"rgdal","copyDataset","FIESTAutils"
"rgdal","CRSargs","geonetwork inlabru inlmisc intamap plotKML rosm RSurvey rtop TOC tripEstimation ursa"
"rgdal","GDAL.close","FIESTAutils raster ursa"
"rgdal","GDAL.open","FIESTAutils raster"
"rgdal","GDALcall","FIESTAutils raster ursa"
"rgdal","gdalDrivers","ebirdst raster rgrass7"
"rgdal","GDALinfo","APfun bnspatial FIESTA FIESTAutils raster rgrass7 sen2r ursa"
"rgdal","GDALis3ormore","sdmpredictors"
"rgdal","get_rgdal_show_exportToProj4_warnings","inlabru"
"rgdal","get_thin_PROJ6_warnings","inlabru"
"rgdal","getColorTable","raster"
"rgdal","getDescription","FIESTAutils raster"
"rgdal","getDriver","raster ursa"
"rgdal","getDriverName","raster ursa"
"rgdal","getGDALCheckVersion","geoviz"
"rgdal","getGDALVersionInfo","reproducible"
"rgdal","getPROJ4VersionInfo","elevatr"
"rgdal","getProjectionRef","FIESTAutils"
"rgdal","getRasterBand","FIESTAutils raster"
