"package","function","used_by"
"maptools","crepuscule","birdscanR"
"maptools","gcDestination","ggsn"
"maptools","getinfo.shape","SSN"
"maptools","getKMLcoordinates","animaltracker"
"maptools","gzAzimuth","FLightR"
"maptools","kmlPolygon","red"
"maptools","kmlPolygons","red"
"maptools","pointLabel","GEOexplorer"
"maptools","PolySet2SpatialPolygons","RchivalTag"
"maptools","readAsciiGrid","rworldmap"
"maptools","readShapePoly","hydroTSM"
"maptools","solarnoon","PWFSLSmoke"
"maptools","solarpos","EMbC"
"maptools","SpatialLines2PolySet","RchivalTag"
"maptools","SpatialLinesMidPoints","gDefrag"
"maptools","spRbind","APfun ecospat iSDM"
"maptools","sunriset","birdscanR FLightR PWFSLSmoke"
"maptools","unionSpatialPolygons","disaggregation LabourMarketAreas RchivalTag"
"maptools","writePointsShape","biogeo"
"maptools","writePolyShape","monographaR"
"maptools","writeSpatialShape","monographaR"
"rgdal","closeDataset","ursa"
"rgdal","CRSargs","plotKML rosm ursa"
"rgdal","GDAL.close","ursa"
"rgdal","GDALcall","ursa"
"rgdal","GDALinfo","APfun bnspatial ursa"
"rgdal","GDALis3ormore","sdmpredictors"
"rgdal","getDriver","ursa"
"rgdal","getDriverName","ursa"
"rgdal","getRasterData","ursa"
"rgdal","ogrInfo","bnspatial ursa"
"rgdal","ogrListLayers","eechidna mapReasy ursa"
"rgdal","project","ConR ctmm eixport hyperbrick kernelPhil red ursa"
"rgdal","putRasterData","ursa"
"rgdal","readGDAL","openSTARS plotKML"
"rgdal","readOGR","APfun ASIP bdvis briskaR cropDemand cropZoning eechidna hyfo iconr importinegi LabourMarketAreas malariaAtlas mapReasy modchart OasisR openSTARS plotKML rcanvec rdhs RSIP SegEnvIneq SSN ursa wallace wux"
"rgdal","rgdal_extSoftVersion","ConR"
"rgdal","saveDataset","ursa"
"rgdal","setCPLConfigOption","ursa"
"rgdal","showP4","ursa"
"rgdal","showWKT","quickmapr ursa"
"rgdal","writeGDAL","ParallelDSM plotKML"
